BinID,microform,watertable,rainfall,Date,PAR,TempStart,TempEnd,SurfacetempEnd.1,NEE,CH4flux,WT,NDVI,FWBI980,WI,CI,REI
13,hollow,high,average,8/7/2020,1981,35.8,35.8,41.5,-1.51,7.421166309,4.575,0.879918438,1.579027263,1.542757145,0.856750918,0.785423195
15,hummock,high,average,8/7/2020,589,30.2,29.1,30.9,0.0853,0.177854864,3.125,0.684679774,1.230861169,1.102505561,0.634642503,0.503308958
16,hummock,high,average,8/7/2020,1648,32.7,31.6,37,-1.12,0.040256783,3.225,0.86367942,1.546702275,1.49017391,0.778864954,0.753098748
19,hummock,low,drought,8/7/2020,1956,31.3,33.6,31.2,0.235,-0.001617582,20.225,0.408643876,1.056233068,0.988996977,0.406695577,0.225132116
23,hummock,high,drought,8/7/2020,1398,29.1,30.6,31.7,-0.3806,0.018538493,3.15,0.851188521,1.388800427,1.267590205,0.838367425,0.704401447
25,hollow,low,drought,8/7/2020,1750,35.8,37.2,38.2,1.99,0.023247436,17.5,0.233991019,0.992619806,0.934367814,0.291943785,0.09204584
27,hollow,high,drought,8/7/2020,1425,36.7,37.3,29.3,0.191,0.006970398,4.025,0.836813231,1.478054589,1.385263175,0.798139019,0.751778189
28,hummock,low,drought,8/7/2020,837,32.4,30.9,32.7,1.05,-0.000616499,23.975,0.594682772,1.013239682,0.884308986,0.639656556,0.297817489
30,hummock,high,average,8/7/2020,1936,33.6,33.6,37.5,-1.03,0.043898191,3.95,0.782394963,1.330010819,1.250760805,0.745184954,0.60092609
31,hummock,high,drought,8/7/2020,1645,37.2,34.8,38.8,-1.7,0.848782536,4.625,0.746582467,1.193015029,1.076193316,0.808791603,0.501233191
32,hollow,low,drought,8/7/2020,1838,34.6,34,38.3,1.34,0.000695807,20.175,0.245839217,1.058932893,1.0121324,0.304748995,0.109095454
34,hollow,low,drought,8/7/2020,1851,33.6,33.6,38.8,1.75,0.001024274,21.925,0.48325641,1.064616739,1.013575908,0.456039424,0.307318433
35,hummock,low,average,8/7/2020,1569,36.8,36.7,31,0.0996,0.012757598,24.325,0.709540402,1.229438669,1.146819583,0.691019806,0.493711201
37,hollow,high,drought,8/7/2020,2283,32.1,31.3,36.3,-1.6,0.468939358,4.975,0.866480615,1.519400309,1.477687685,0.729685774,0.780340877
38,hollow,high,drought,8/7/2020,2096,30.8,31.1,30.6,-1.46,0.209868102,4.8,0.846405196,1.472979689,1.426736546,0.710393762,0.757870857
39,hollow,low,average,8/7/2020,1780,31.4,34.5,34,2.28,0.000635122,21.175,0.427881622,1.106593337,1.047888714,0.419191555,0.260016316
40,hummock,low,average,8/7/2020,1589,32.7,34.4,41.3,-2.1,-8.96E-05,23,0.800950087,1.133635638,1.028985888,0.835529416,0.582725853
41,hollow,low,average,8/7/2020,1174,34.8,34.5,35.3,2.16,0.49185203,22.1,0.712457603,1.582294172,1.51381025,0.55343085,0.607595497
42,hollow,low,average,8/7/2020,1776,33.2,31.5,41,2.04,0.007067777,21.5,0.544711815,1.058065974,1.003458062,0.437317384,0.388867697
43,hummock,high,drought,8/7/2020,1480,30.6,29.9,30.7,0.166,0.011327857,2.85,0.733862027,1.311738283,1.200267572,0.756818762,0.506065171
44,hollow,high,average,8/7/2020,1315,30.6,30.8,37.8,-0.8096,0.07477271,2.45,0.860777044,1.582985969,1.536355759,0.738425504,0.776297278
46,hollow,high,average,8/7/2020,1672,34.6,34,41,-1.25,0.599765556,4.65,0.818675685,1.497286832,1.439408746,0.628002827,0.720151626
47,hummock,high,average,8/7/2020,2096,34.5,32.4,34.8,-2.67,0.05909728,4.925,0.871329261,1.494672887,1.411993115,0.836038054,0.74575098
50,hummock,low,drought,8/7/2020,1563,35.7,35.6,33.8,-1.73,-0.005918986,22.625,0.800129266,1.218321972,1.127856593,0.835401476,0.59694546
